target,feature,importance
sympathetic_activation,num__temperature__base__last,0.02800249622192979
sympathetic_activation,num__ecg__base__max,0.026405145820020248
sympathetic_activation,num__acc_y__base__last,0.024642616377870477
sympathetic_activation,num__acc_y__base__min,0.023337458791037248
sympathetic_activation,num__acc_y__base__max,0.02326246800933302
sympathetic_activation,num__temperature__base__max,0.021946771437918636
sympathetic_activation,num__acc_x__base__mean,0.01911916373633599
sympathetic_activation,num__eda__base__max,0.01850341008796372
sympathetic_activation,num__eda__base__min,0.018046401902850007
sympathetic_activation,num__eda__base__last,0.018005234513669102
sympathetic_activation,num__acc_z__base__mean,0.017709511973644863
sympathetic_activation,num__temperature__base__min,0.01762283797065197
sympathetic_activation,num__eda__base__mean,0.0172371134352253
sympathetic_activation,num__acc_x__base__last,0.01695754391683827
sympathetic_activation,num__bvp__shape__mad,0.016723078402178897
sympathetic_activation,num__ecg__base__std,0.01659536979479523
sympathetic_activation,num__acc_x__base__max,0.015336566693947565
sympathetic_activation,num__bvp__shape__iqr,0.015253405816365598
sympathetic_activation,num__hr__base__std,0.015107685058859122
sympathetic_activation,num__bvp__base__std,0.014826978137212059
sympathetic_activation,num__acc_z__base__min,0.01424999514426529
sympathetic_activation,num__bvp__shape__q10,0.014054214099735441
sympathetic_activation,num__acc_x__base__min,0.013713613500970272
sympathetic_activation,num__acc_z__base__last,0.013439197548532143
sympathetic_activation,num__ecg__base__min,0.013115384115647135
sympathetic_activation,num__acc_mag__base__std,0.012664253276827055
sympathetic_activation,num__hr__base__max,0.012344738584677297
sympathetic_activation,num__bvp__base__max,0.012239357709997083
sympathetic_activation,num__bvp__shape__q75,0.011873660518480532
sympathetic_activation,num__eda__base__std,0.011813369315609683
sympathetic_activation,num__bvp__shape__q90,0.011809247335283485
sympathetic_activation,num__bvp__shape__q25,0.011528856065261486
sympathetic_activation,num__bvp__shape__mean_abs_diff_z,0.011356432662102655
sympathetic_activation,num__bvp__shape__longest_above_median_frac,0.011331275409431957
sympathetic_activation,num__hr__base__min,0.010876357324167054
sympathetic_activation,num__acc_mag__base__min,0.010683592523079415
sympathetic_activation,num__bvp__base__min,0.010566594090335226
sympathetic_activation,num__hr__base__last,0.010545311487170233
sympathetic_activation,num__bvp__shape__std_diff_z,0.0105219583208519
sympathetic_activation,num__acc_x__base__std,0.010445611333077314
sympathetic_activation,num__acc_z__base__max,0.010211082296789034
sympathetic_activation,num__emg__base__mean,0.010153345164428635
sympathetic_activation,num__hr__base__mean,0.010115399277311681
sympathetic_activation,num__acc_mag__base__last,0.009982968027225241
sympathetic_activation,num__bvp__shape__median_crossings,0.00951750967711261
sympathetic_activation,num__acc_y__base__std,0.009236447936142872
sympathetic_activation,num__bvp__shape__max_time_fraction,0.008978040158966496
sympathetic_activation,num__acc_mag__base__max,0.008792036803847079
sympathetic_activation,num__bvp__base__last,0.008769120283890715
sympathetic_activation,num__ibi__base__last,0.00862480210304972
sympathetic_activation,num__bvp__shape__max_abs_diff_z,0.008476345914440362
sympathetic_activation,num__bvp__shape__min_time_fraction,0.007923928309006989
sympathetic_activation,num__bvp__shape__second_diff_energy,0.007610924384647906
sympathetic_activation,num__ibi__base__min,0.007585089112131054
sympathetic_activation,num__bvp__shape__skew,0.007497831348280706
sympathetic_activation,num__grip__base__mean,0.007328260717340315
sympathetic_activation,num__bvp__shape__median,0.007275793566257255
sympathetic_activation,num__ibi__base__mean,0.007131868949138138
sympathetic_activation,num__window_s,0.006938629745063623
sympathetic_activation,num__grip__base__max,0.006878416007575609
sympathetic_activation,num__grip__base__last,0.006765403639520443
sympathetic_activation,num__bvp__shape__kurtosis,0.006721687093618738
sympathetic_activation,num__ibi__base__max,0.006535615112827218
sympathetic_activation,num__grip__base__min,0.006463216996777796
sympathetic_activation,num__emg__base__std,0.006252228884759763
sympathetic_activation,num__emg__base__min,0.005797780915811269
sympathetic_activation,num__acc_z__base__std,0.005778320163098797
sympathetic_activation,num__respiration__base__std,0.005756589813438239
sympathetic_activation,num__ibi__base__std,0.005739111121723924
sympathetic_activation,num__respiration__base__max,0.005661320863702479
sympathetic_activation,num__bvp__shape__rms_z,0.005498157766620649
sympathetic_activation,num__emg__base__max,0.005258506857892756
sympathetic_activation,num__bvp__shape__last_minus_first_z,0.004921368678007646
sympathetic_activation,num__respiration__base__min,0.004783769027559854
sympathetic_activation,num__bvp__shape__late_minus_early_z,0.0047122205126893975
sympathetic_activation,num__temperature__base__std,0.004635549689603502
sympathetic_activation,num__bvp__base__mean,0.004088168276684475
sympathetic_activation,num__respiration__base__last,0.003334195609345226
sympathetic_activation,num__grip__base__std,0.003151536696389122
sympathetic_activation,num__ecg__base__last,0.0028396928829701124
sympathetic_activation,num__ecg__base__mean,0.0027689473370941945
sympathetic_activation,num__emg__base__last,0.002542142638506214
sympathetic_activation,num__respiration__base__mean,0.0014217766444096012
