target,split,model,feature_set,train_rows,test_rows,feature_count,prevalence,auc,average_precision,brier
homeostasis,leave_dataset_out:physiopain_watch,logistic,portable_base_shape,7436,1200,86,0.525,0.5741158451684768,0.5771069822277056,0.30201175614542775
homeostasis,leave_dataset_out:rheumapain,logistic,portable_base_shape,7557,1079,86,0.9063948100092678,0.4938751543866043,0.9225595635723922,0.18883825827330386
homeostasis,leave_dataset_out:silver_pain,logistic,portable_base_shape,7749,887,86,0.46110484780157834,0.5110945156571288,0.5098634129392398,0.31529063348602576
homeostasis,leave_dataset_out:wesad,logistic,portable_base_shape,7322,1314,86,0.4969558599695586,0.5895401880764445,0.5757207225599514,0.3324811670309062
homeostasis,group_subject_cv,hist_gradient_boosting,portable_base_shape,6908,8636,86,0.479967577582214,0.6584437337347258,0.6440454919204482,0.24323309655727443
homeostasis,leave_dataset_out:catsa,hist_gradient_boosting,portable_base_shape,6248,2388,86,0.49748743718592964,0.44421647025813693,0.4650495399556379,0.29423935072424534
homeostasis,leave_dataset_out:painmonit,hist_gradient_boosting,portable_base_shape,7651,985,86,0.2913705583756345,0.4495247746173736,0.2587664131210015,0.22044973242154065
homeostasis,leave_dataset_out:physiopain_watch,hist_gradient_boosting,portable_base_shape,7436,1200,86,0.525,0.5938178780284042,0.6094121500046668,0.3394076859112547
homeostasis,leave_dataset_out:rheumapain,hist_gradient_boosting,portable_base_shape,7557,1079,86,0.9063948100092678,0.5825588693838709,0.9314049539447804,0.19210777455194053
homeostasis,leave_dataset_out:silver_pain,hist_gradient_boosting,portable_base_shape,7749,887,86,0.46110484780157834,0.342433836993995,0.3710776540102721,0.31873165053040636
homeostasis,leave_dataset_out:wesad,hist_gradient_boosting,portable_base_shape,7322,1314,86,0.4969558599695586,0.5765418770112573,0.5574898709929734,0.4234868672770612
homeostasis,group_subject_cv,extra_trees,portable_base_shape,6908,8636,86,0.479967577582214,0.6715312947299236,0.6561217861933086,0.2258973181034915
homeostasis,leave_dataset_out:catsa,extra_trees,portable_base_shape,6248,2388,86,0.49748743718592964,0.5116035353535353,0.524061054963108,0.25529721884954654
homeostasis,leave_dataset_out:painmonit,extra_trees,portable_base_shape,7651,985,86,0.2913705583756345,0.49180835238561144,0.29000919701756067,0.2136831783780852
homeostasis,leave_dataset_out:physiopain_watch,extra_trees,portable_base_shape,7436,1200,86,0.525,0.5502450570871623,0.5970894449196305,0.26979768585237324
homeostasis,leave_dataset_out:rheumapain,extra_trees,portable_base_shape,7557,1079,86,0.9063948100092678,0.5587377756180527,0.9256246063762168,0.1971638620506368
homeostasis,leave_dataset_out:silver_pain,extra_trees,portable_base_shape,7749,887,86,0.46110484780157834,0.3648300273142986,0.37894087584742153,0.2766236042403771
homeostasis,leave_dataset_out:wesad,extra_trees,portable_base_shape,7322,1314,86,0.4969558599695586,0.6287957593603826,0.6466026354318232,0.27698591429134684
