window_s,task,dataset_id,split,model,feature_set,train_rows,test_rows,feature_count,prevalence,auc,average_precision,brier
5,pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,base_reverse,318,398,312,0.2035175879396984,0.5920863029170074,0.2988782412526955,0.2544362275486688
5,pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,base_reverse,318,398,312,0.2035175879396984,0.722592203138996,0.4580597388824825,0.1529669520572292
5,pain_high_4_plus,painmonit_pmed,group_subject_cv,logistic,quality_only,318,398,16,0.2035175879396984,0.5628188651322196,0.2761489781097982,0.2356177808655886
5,pain_high_4_plus,painmonit_pmed,group_subject_cv,extra_trees,quality_only,318,398,16,0.2035175879396984,0.5572886240604432,0.2807994497644948,0.2381000953866219
5,pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base,320,400,35,0.475,0.4384962406015037,0.452600801012066,0.2970258252603605
5,pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base,320,400,35,0.475,0.3336340852130325,0.3944717990836586,0.3196715763738043
5,pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_distribution,320,400,105,0.475,0.4582706766917294,0.4531902771676731,0.3341143744366674
5,pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_distribution,320,400,105,0.475,0.3450375939849623,0.3911687505205911,0.3258559762637493
5,pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_temporal,320,400,203,0.475,0.4200751879699248,0.4169044677774599,0.4286659713073784
5,pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_temporal,320,400,203,0.475,0.3250877192982456,0.3740264260268083,0.2836312779824894
5,pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_temporal_coupling,320,400,215,0.475,0.4410025062656642,0.4538514233531101,0.4274470632583401
5,pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_temporal_coupling,320,400,215,0.475,0.329047619047619,0.3769062864616371,0.281044388961255
5,pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_temporal_shuffle,320,400,203,0.475,0.4367669172932331,0.4390889446356328,0.4043256861976655
5,pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_temporal_shuffle,320,400,203,0.475,0.324110275689223,0.375219127961716,0.2823457103781431
5,pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_temporal_reverse,320,400,203,0.475,0.3970175438596491,0.4050356756241698,0.441626876763602
5,pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_temporal_reverse,320,400,203,0.475,0.3210526315789473,0.3669899893953005,0.2864716479426847
5,pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_shape,320,400,273,0.475,0.42062656641604,0.4160053305738844,0.4372025803667295
5,pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_shape,320,400,273,0.475,0.3125814536340852,0.3708348459878307,0.2991023532009403
5,pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_shape_coupling,320,400,285,0.475,0.4450877192982456,0.4476492421766208,0.4327785952922231
5,pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_shape_coupling,320,400,285,0.475,0.2988471177944862,0.3612269425748441,0.3005281994285421
5,pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_shuffle,320,400,273,0.475,0.4304260651629072,0.4477151477659923,0.4303682454095457
5,pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_shuffle,320,400,273,0.475,0.315187969924812,0.3699152574244879,0.3000727905608146
5,pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_reverse,320,400,273,0.475,0.4123057644110275,0.4145057860407938,0.4392871806513815
5,pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_reverse,320,400,273,0.475,0.3086466165413534,0.3628756725168803,0.3026034401884437
5,pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,quality_only,320,400,18,0.475,0.5,0.475,0.25
5,pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,quality_only,320,400,18,0.475,0.3997493734335839,0.4334429824561403,0.25
5,pain_high_4_plus,rheumapain,group_subject_cv,logistic,base,268,336,35,0.0982142857142857,0.4708470847084708,0.1060272396884775,0.2444445814424829
