task,split,feature_set,heldout,train_rows,test_rows,features,train_datasets,test_datasets,train_subjects,test_subjects,status,mae,baseline_mae,mae_improvement_vs_train_mean,rmse,r2,prevalence,roc_auc,average_precision,balanced_accuracy,f1,reason
pain_nrs_regression,within_dataset_loso,apple_watch_like,rheumapain:rheumapain::s019,23454,310,97,rheumapain,rheumapain,41,1,ok,1.0804286878205143,2.678321128592138,0.5966022609139321,1.0804618258646674,,,,,,,
pain_high_4_plus,within_dataset_loso,apple_watch_like,rheumapain:rheumapain::s019,23454,310,97,rheumapain,rheumapain,41,1,skipped,,,,,,,,,,,target has fewer than two classes
pain_nrs_regression,within_dataset_loso,metadata_probe,rheumapain:rheumapain::s019,23454,310,21,rheumapain,rheumapain,41,1,ok,1.9713419500899407,2.678321128592138,0.26396355946824845,1.9715172129635916,,,,,,,
pain_high_4_plus,within_dataset_loso,metadata_probe,rheumapain:rheumapain::s019,23454,310,21,rheumapain,rheumapain,41,1,skipped,,,,,,,,,,,target has fewer than two classes
stress_binary,stress_group_holdout,hr_eda_stress,,405014,130177,25,"catsa,induced_stress_exercise,merged_wearable_stress,stress_reference_real,stress_reference_synthetic","catsa,induced_stress_exercise,merged_wearable_stress,stress_reference_real,stress_reference_synthetic",300,101,ok,,,,,,0.40391159728677106,0.9156267059072943,0.8878085310424323,0.8046109571699247,0.7618659604807496,
stress_binary,stress_group_holdout,autonomic_core,,405014,130177,70,"catsa,induced_stress_exercise,merged_wearable_stress,stress_reference_real,stress_reference_synthetic","catsa,induced_stress_exercise,merged_wearable_stress,stress_reference_real,stress_reference_synthetic",300,101,ok,,,,,,0.40391159728677106,0.9262134791692492,0.9126311270316805,0.8204258110045929,0.7827976145214378,
stress_binary,stress_group_holdout,metadata_probe,,405014,130177,23,"catsa,induced_stress_exercise,merged_wearable_stress,stress_reference_real,stress_reference_synthetic","catsa,induced_stress_exercise,merged_wearable_stress,stress_reference_real,stress_reference_synthetic",300,101,ok,,,,,,0.40391159728677106,1.0,1.0,1.0,1.0,
stress_binary,leave_stress_source_out,hr_eda_stress,NEURO,511445,23746,25,"catsa,induced_stress_exercise,merged_wearable_stress,stress_reference_real,stress_reference_synthetic",stress_reference_real,381,20,ok,,,,,,0.5479238608607766,0.6189573639044343,0.6996078181113436,0.5878941816170238,0.55091640590076,
stress_binary,leave_stress_source_out,autonomic_core,NEURO,511445,23746,70,"catsa,induced_stress_exercise,merged_wearable_stress,stress_reference_real,stress_reference_synthetic",stress_reference_real,381,20,ok,,,,,,0.5479238608607766,0.6227400325553059,0.69976662870186,0.6004925036201498,0.5792468401164054,
stress_binary,leave_stress_source_out,metadata_probe,NEURO,511445,23746,23,"catsa,induced_stress_exercise,merged_wearable_stress,stress_reference_real,stress_reference_synthetic",stress_reference_real,381,20,ok,,,,,,0.5479238608607766,1.0,1.0,1.0,1.0,
stress_binary,leave_stress_source_out,hr_eda_stress,SWELL,377566,157625,25,"catsa,induced_stress_exercise,merged_wearable_stress,stress_reference_real,stress_reference_synthetic",stress_reference_real,392,9,ok,,,,,,0.2856780333068993,0.858122117561012,0.7049077189239352,0.6146033373530346,0.384667686554479,
stress_binary,leave_stress_source_out,autonomic_core,SWELL,377566,157625,70,"catsa,induced_stress_exercise,merged_wearable_stress,stress_reference_real,stress_reference_synthetic",stress_reference_real,392,9,ok,,,,,,0.2856780333068993,0.8663286748840323,0.7243701708930214,0.6485702250574161,0.46644455021418374,
stress_binary,leave_stress_source_out,metadata_probe,SWELL,377566,157625,23,"catsa,induced_stress_exercise,merged_wearable_stress,stress_reference_real,stress_reference_synthetic",stress_reference_real,392,9,ok,,,,,,0.2856780333068993,1.0,1.0,1.0,1.0,
stress_binary,leave_stress_source_out,hr_eda_stress,SYNTHETIC,278391,256800,25,"catsa,induced_stress_exercise,merged_wearable_stress,stress_reference_real",stress_reference_synthetic,201,200,ok,,,,,,0.4857126168224299,0.8021932800580164,0.7644112072882683,0.6463663307742831,0.5060969162014904,
stress_binary,leave_stress_source_out,autonomic_core,SYNTHETIC,278391,256800,70,"catsa,induced_stress_exercise,merged_wearable_stress,stress_reference_real",stress_reference_synthetic,201,200,ok,,,,,,0.4857126168224299,0.813320073428355,0.7819221602951636,0.6558979939025908,0.5330063576602514,
