task,dataset_id,split,model,feature_set,train_rows,test_rows,feature_count,prevalence,auc,average_precision,brier
pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_distribution,320,400,105,0.475,0.3312781954887217,0.3859749911055376,0.33034163882714856
pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_temporal,320,400,210,0.475,0.41791979949874686,0.41476760649671146,0.4155321495240687
pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_temporal,320,400,210,0.475,0.2917042606516291,0.3558307290775169,0.2951922127732991
pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_temporal_coupling,320,400,222,0.475,0.4200751879699248,0.4233158528609992,0.41680066971482865
pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_temporal_coupling,320,400,222,0.475,0.2883959899749373,0.3603750471107784,0.29558373833403845
pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_temporal_shuffle,320,400,210,0.475,0.4437092731829574,0.45368837592169164,0.40375685034763636
pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_temporal_shuffle,320,400,210,0.475,0.2897744360902256,0.35653079590324893,0.284583954901509
pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_temporal_reverse,320,400,210,0.475,0.46769423558897244,0.44744895538550034,0.38528547023301146
pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_temporal_reverse,320,400,210,0.475,0.2981453634085213,0.354211916941105,0.2950222755749459
pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_shape,320,400,280,0.475,0.40656641604010024,0.4126106291999647,0.4385507055135527
pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_shape,320,400,280,0.475,0.29077694235588974,0.3574645853215561,0.3085211316953517
pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_shape_coupling,320,400,292,0.475,0.4187218045112782,0.4254278987694096,0.431308757197103
pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_shape_coupling,320,400,292,0.475,0.2806265664160401,0.35032616208365863,0.30777434658306807
pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_shuffle,320,400,280,0.475,0.44413533834586466,0.4629261953790283,0.4212073044335567
pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_shuffle,320,400,280,0.475,0.28922305764411027,0.35737292929803055,0.305060118308684
pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,base_reverse,320,400,280,0.475,0.4659899749373434,0.4470926207998868,0.4018027121344659
pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,base_reverse,320,400,280,0.475,0.2878195488721804,0.35553033452508415,0.30930489474172107
pain_high_4_plus,physiopain_watch,group_subject_cv,logistic,quality_only,320,400,18,0.475,0.5,0.475,0.25
pain_high_4_plus,physiopain_watch,group_subject_cv,extra_trees,quality_only,320,400,18,0.475,0.39974937343358397,0.4334429824561403,0.25000000000000006
pain_high_4_plus,rheumapain,group_subject_cv,logistic,base,320,400,35,0.0875,0.3850489236790607,0.06708038237996602,0.22292462503525115
pain_high_4_plus,rheumapain,group_subject_cv,extra_trees,base,320,400,35,0.0875,0.3356555772994129,0.06240766776426618,0.11847204771140868
pain_high_4_plus,rheumapain,group_subject_cv,logistic,base_distribution,320,400,105,0.0875,0.3359686888454012,0.06367081744226981,0.20663562908443212
pain_high_4_plus,rheumapain,group_subject_cv,extra_trees,base_distribution,320,400,105,0.0875,0.29475538160469666,0.05900162483559682,0.11393044345861192
pain_high_4_plus,rheumapain,group_subject_cv,logistic,base_temporal,320,400,210,0.0875,0.41001956947162427,0.07111260414797015,0.160089520483216
pain_high_4_plus,rheumapain,group_subject_cv,extra_trees,base_temporal,320,400,210,0.0875,0.37119373776908027,0.06567825078275798,0.10837051417917425
pain_high_4_plus,rheumapain,group_subject_cv,logistic,base_temporal_coupling,320,400,222,0.0875,0.4002348336594912,0.06938190779844393,0.16009796050160457
pain_high_4_plus,rheumapain,group_subject_cv,extra_trees,base_temporal_coupling,320,400,222,0.0875,0.38035225048923677,0.0665592624535196,0.10530476198299214
pain_high_4_plus,rheumapain,group_subject_cv,logistic,base_temporal_shuffle,320,400,210,0.0875,0.26575342465753427,0.056861400835048884,0.1753122220447542
pain_high_4_plus,rheumapain,group_subject_cv,extra_trees,base_temporal_shuffle,320,400,210,0.0875,0.2634050880626223,0.056624880454779425,0.10328732811251275
pain_high_4_plus,rheumapain,group_subject_cv,logistic,base_temporal_reverse,320,400,210,0.0875,0.3682974559686889,0.06581699330086363,0.17458569180925948
pain_high_4_plus,rheumapain,group_subject_cv,extra_trees,base_temporal_reverse,320,400,210,0.0875,0.40602739726027404,0.06960000449995851,0.10583761804610134
pain_high_4_plus,rheumapain,group_subject_cv,logistic,base_shape,320,400,280,0.0875,0.3804305283757339,0.06764738869672038,0.16469202625094467
pain_high_4_plus,rheumapain,group_subject_cv,extra_trees,base_shape,320,400,280,0.0875,0.338160469667319,0.0627885407687429,0.10694583653231969
pain_high_4_plus,rheumapain,group_subject_cv,logistic,base_shape_coupling,320,400,292,0.0875,0.37573385518590996,0.06678871781031222,0.16216735018330689
pain_high_4_plus,rheumapain,group_subject_cv,extra_trees,base_shape_coupling,320,400,292,0.0875,0.35162426614481407,0.06384129086067729,0.10539970018958185
pain_high_4_plus,rheumapain,group_subject_cv,logistic,base_shuffle,320,400,280,0.0875,0.2389041095890411,0.055314238922915364,0.17299569812054966
pain_high_4_plus,rheumapain,group_subject_cv,extra_trees,base_shuffle,320,400,280,0.0875,0.2759295499021527,0.05752387925398713,0.10375828091709825
pain_high_4_plus,rheumapain,group_subject_cv,logistic,base_reverse,320,400,280,0.0875,0.3545988258317026,0.06482032830952425,0.1729456806520541
pain_high_4_plus,rheumapain,group_subject_cv,extra_trees,base_reverse,320,400,280,0.0875,0.3451272015655577,0.06352187425266842,0.10586736711323595
pain_high_4_plus,rheumapain,group_subject_cv,logistic,quality_only,320,400,18,0.0875,0.5819960861056752,0.15232822925705009,0.2507624480075234
pain_high_4_plus,rheumapain,group_subject_cv,extra_trees,quality_only,320,400,18,0.0875,0.5551859099804305,0.12914590722854474,0.24377706093338702
pain_high_4_plus,silver_pain,group_subject_cv,logistic,base,316,396,20,0.5050505050505051,0.5473724489795918,0.5522776887325815,0.2568857253818498
pain_high_4_plus,silver_pain,group_subject_cv,extra_trees,base,316,396,20,0.5050505050505051,0.5514540816326531,0.5893517837366332,0.24906165896556148
pain_high_4_plus,silver_pain,group_subject_cv,logistic,base_distribution,316,396,60,0.5050505050505051,0.5552168367346939,0.5225850383152496,0.27645287471833513
pain_high_4_plus,silver_pain,group_subject_cv,extra_trees,base_distribution,316,396,60,0.5050505050505051,0.5563010204081633,0.5806629783849824,0.24870824505899128
pain_high_4_plus,silver_pain,group_subject_cv,logistic,base_temporal,316,396,120,0.5050505050505051,0.6406760204081632,0.6092396276299983,0.27172528014719205
