split,feature_set,task,heldout_dataset,train_rows,test_rows,features,train_datasets,test_datasets,train_subjects,test_subjects,status,mae,baseline_mae,mae_improvement_vs_train_mean,rmse,r2,pearson,weighted_mae,weighted_baseline_mae,weighted_mae_improvement_vs_train_mean,prevalence,accuracy,balanced_accuracy,f1,average_precision,roc_auc,weighted_accuracy,weighted_balanced_accuracy,weighted_f1,weighted_average_precision,weighted_roc_auc,reason
within_dataset_subject_holdout:painmonit,sensors_only,classification_high_pain_4_plus,,6469,2687,99,painmonit,painmonit,36,13,ok,,,,,,,,,,0.5872720506140677,0.5217714923706737,0.48161916386381276,0.6360804304729538,0.6175421199746024,0.5143645550119371,0.5217714923706737,0.4816191638638142,0.6360804304729749,0.6175421199746036,0.5143645550119513,
within_dataset_subject_holdout:painmonit,sensors_only,classification_nonzero_pain,,6469,2687,99,painmonit,painmonit,36,13,skipped,,,,,,,,,,,,,,,,,,,,,classifier target has fewer than two classes in train or test
within_dataset_subject_holdout:painmonit,sensors_plus_state,regression_nrs,,6469,2687,105,painmonit,painmonit,36,13,ok,1.8907256511040962,1.5451743609655468,-0.22363255491931766,2.3261300536016276,-0.5437465087598572,-0.04445806523292889,1.8907256511040964,1.545174360965547,-0.22363255491931766,,,,,,,,,,,,
within_dataset_subject_holdout:painmonit,sensors_plus_state,classification_high_pain_4_plus,,6469,2687,105,painmonit,painmonit,36,13,ok,,,,,,,,,,0.5872720506140677,0.521399330107927,0.4803643081550764,0.6371331828442438,0.6167927693843371,0.5105479879451567,0.521399330107927,0.4803643081550778,0.6371331828442651,0.6167927693843384,0.5105479879451711,
within_dataset_subject_holdout:painmonit,sensors_plus_state,classification_nonzero_pain,,6469,2687,105,painmonit,painmonit,36,13,skipped,,,,,,,,,,,,,,,,,,,,,classifier target has fewer than two classes in train or test
within_dataset_subject_holdout:painmonit,e4_like,regression_nrs,,6469,2687,55,painmonit,painmonit,36,13,ok,1.9199463380206914,1.5451743609655468,-0.24254348669166204,2.512103749404476,-0.8004586308411692,-0.19928561434098796,1.9199463380206914,1.545174360965547,-0.2425434866916618,,,,,,,,,,,,
within_dataset_subject_holdout:painmonit,e4_like,classification_high_pain_4_plus,,6469,2687,55,painmonit,painmonit,36,13,ok,,,,,,,,,,0.5872720506140677,0.4893933755117231,0.4933145790690525,0.5199440167949615,0.5586178393694843,0.4875620142148409,0.4893933755117232,0.4933145790690518,0.5199440167949626,0.5586178393694852,0.4875620142148552,
within_dataset_subject_holdout:painmonit,e4_like,classification_nonzero_pain,,6469,2687,55,painmonit,painmonit,36,13,skipped,,,,,,,,,,,,,,,,,,,,,classifier target has fewer than two classes in train or test
within_dataset_subject_holdout:painmonit,apple_watch_like,regression_nrs,,6469,2687,45,painmonit,painmonit,36,13,ok,1.879004262403837,1.5451743609655468,-0.21604675166217935,2.4640146944378576,-0.7321862646085453,-0.180824373319218,1.8790042624038372,1.545174360965547,-0.21604675166217935,,,,,,,,,,,,
within_dataset_subject_holdout:painmonit,apple_watch_like,classification_high_pain_4_plus,,6469,2687,45,painmonit,painmonit,36,13,ok,,,,,,,,,,0.5872720506140677,0.5161890584294753,0.5094282749391144,0.570957095709571,0.5752646831457677,0.48307430505793714,0.5161890584294753,0.5094282749391152,0.5709570957095785,0.5752646831457686,0.48307430505795157,
within_dataset_subject_holdout:painmonit,apple_watch_like,classification_nonzero_pain,,6469,2687,45,painmonit,painmonit,36,13,skipped,,,,,,,,,,,,,,,,,,,,,classifier target has fewer than two classes in train or test
within_dataset_subject_holdout:painmonit,autonomic_core,regression_nrs,,6469,2687,46,painmonit,painmonit,36,13,ok,2.2309580106406917,1.5451743609655468,-0.4438228247889209,2.823105042877347,-1.273851398907623,-0.35179398650523563,2.230958010640692,1.545174360965547,-0.4438228247889211,,,,,,,,,,,,
within_dataset_subject_holdout:painmonit,autonomic_core,classification_high_pain_4_plus,,6469,2687,46,painmonit,painmonit,36,13,ok,,,,,,,,,,0.5872720506140677,0.4402679568291775,0.4300495085148474,0.5062376887721602,0.5654665502471854,0.43010865130439846,0.44026795682917746,0.4300495085148459,0.5062376887721646,0.5654665502471846,0.43010865130441,
within_dataset_subject_holdout:painmonit,autonomic_core,classification_nonzero_pain,,6469,2687,46,painmonit,painmonit,36,13,skipped,,,,,,,,,,,,,,,,,,,,,classifier target has fewer than two classes in train or test
within_dataset_subject_holdout:painmonit,motion_only,regression_nrs,,6469,2687,25,painmonit,painmonit,36,13,ok,1.5537886081098202,1.5451743609655468,-0.005574935335382225,1.9569291156971549,-0.09259244530769029,-0.021967355574779187,1.5537886081098202,1.545174360965547,-0.005574935335382003,,,,,,,,,,,,
within_dataset_subject_holdout:painmonit,motion_only,classification_high_pain_4_plus,,6469,2687,25,painmonit,painmonit,36,13,ok,,,,,,,,,,0.5872720506140677,0.5541496092296241,0.5205756907706391,0.6525522041763341,0.6201515457975121,0.5465513753698568,0.5541496092296241,0.5205756907706407,0.6525522041763547,0.6201515457975124,0.54655137536987,
within_dataset_subject_holdout:painmonit,motion_only,classification_nonzero_pain,,6469,2687,25,painmonit,painmonit,36,13,skipped,,,,,,,,,,,,,,,,,,,,,classifier target has fewer than two classes in train or test
within_dataset_subject_holdout:painmonit,metadata_probe,regression_nrs,,6469,2687,12,painmonit,painmonit,36,13,ok,1.5537886081098202,1.5451743609655468,-0.005574935335382225,1.9569291156971549,-0.09259244530769029,-0.021967355574779187,1.5537886081098202,1.545174360965547,-0.005574935335382003,,,,,,,,,,,,
within_dataset_subject_holdout:painmonit,metadata_probe,classification_high_pain_4_plus,,6469,2687,12,painmonit,painmonit,36,13,ok,,,,,,,,,,0.5872720506140677,0.5541496092296241,0.5205756907706391,0.6525522041763341,0.6201515457975121,0.5465513753698568,0.5541496092296241,0.5205756907706407,0.6525522041763547,0.6201515457975124,0.54655137536987,
within_dataset_subject_holdout:painmonit,metadata_probe,classification_nonzero_pain,,6469,2687,12,painmonit,painmonit,36,13,skipped,,,,,,,,,,,,,,,,,,,,,classifier target has fewer than two classes in train or test
within_dataset_subject_holdout:painmonit,sensors_plus_metadata,regression_nrs,,6469,2687,111,painmonit,painmonit,36,13,ok,1.8907256511040962,1.5451743609655468,-0.22363255491931766,2.3261300536016276,-0.5437465087598572,-0.04445806523292889,1.8907256511040964,1.545174360965547,-0.22363255491931766,,,,,,,,,,,,
within_dataset_subject_holdout:painmonit,sensors_plus_metadata,classification_high_pain_4_plus,,6469,2687,111,painmonit,painmonit,36,13,ok,,,,,,,,,,0.5872720506140677,0.521399330107927,0.4803643081550764,0.6371331828442438,0.6167927693843371,0.5105479879451567,0.521399330107927,0.4803643081550778,0.6371331828442651,0.6167927693843384,0.5105479879451711,
within_dataset_subject_holdout:painmonit,sensors_plus_metadata,classification_nonzero_pain,,6469,2687,111,painmonit,painmonit,36,13,skipped,,,,,,,,,,,,,,,,,,,,,classifier target has fewer than two classes in train or test
within_dataset_subject_holdout:physiopain_watch,sensors_only,regression_nrs,,6400,2200,143,physiopain_watch,physiopain_watch,64,22,ok,1.1709091796749285,1.0284090909090908,-0.1385636222253448,1.477967009291508,-0.36948582459608414,0.02560997297244805,1.1709091796749282,1.0284090909090908,-0.13856362222534457,,,,,,,,,,,,
within_dataset_subject_holdout:physiopain_watch,sensors_only,classification_high_pain_4_plus,,6400,2200,143,physiopain_watch,physiopain_watch,64,22,ok,,,,,,,,,,0.18181818181818182,0.7113636363636363,0.5105555555555555,0.1972187104930468,0.18915653137238658,0.5422916666666667,0.7113636363636364,0.5105555555555539,0.19721871049304543,0.18915653137238775,0.5422916666666596,
within_dataset_subject_holdout:physiopain_watch,sensors_only,classification_nonzero_pain,,6400,2200,143,physiopain_watch,physiopain_watch,64,22,skipped,,,,,,,,,,,,,,,,,,,,,classifier target has fewer than two classes in train or test
within_dataset_subject_holdout:physiopain_watch,sensors_plus_state,regression_nrs,,6400,2200,151,physiopain_watch,physiopain_watch,64,22,ok,0.8160647540582262,1.0284090909090908,0.20647847119200102,1.1498103344230604,0.17114134496023592,0.5092943608174719,0.8160647540582261,1.0284090909090908,0.20647847119200113,,,,,,,,,,,,
within_dataset_subject_holdout:physiopain_watch,sensors_plus_state,classification_high_pain_4_plus,,6400,2200,151,physiopain_watch,physiopain_watch,64,22,ok,,,,,,,,,,0.18181818181818182,0.7272727272727273,0.5270833333333333,0.22077922077922077,0.28831497227823594,0.5780152777777778,0.7272727272727273,0.5270833333333319,0.22077922077921933,0.2883149722782369,0.5780152777777715,
within_dataset_subject_holdout:physiopain_watch,sensors_plus_state,classification_nonzero_pain,,6400,2200,151,physiopain_watch,physiopain_watch,64,22,skipped,,,,,,,,,,,,,,,,,,,,,classifier target has fewer than two classes in train or test
within_dataset_subject_holdout:physiopain_watch,e4_like,regression_nrs,,6400,2200,88,physiopain_watch,physiopain_watch,64,22,ok,0.8160647540582262,1.0284090909090908,0.20647847119200102,1.1498103344230604,0.17114134496023592,0.5092943608174719,0.8160647540582261,1.0284090909090908,0.20647847119200113,,,,,,,,,,,,
within_dataset_subject_holdout:physiopain_watch,e4_like,classification_high_pain_4_plus,,6400,2200,88,physiopain_watch,physiopain_watch,64,22,ok,,,,,,,,,,0.18181818181818182,0.7272727272727273,0.5270833333333333,0.22077922077922077,0.28831497227823594,0.5780152777777778,0.7272727272727273,0.5270833333333319,0.22077922077921933,0.2883149722782369,0.5780152777777715,
within_dataset_subject_holdout:physiopain_watch,e4_like,classification_nonzero_pain,,6400,2200,88,physiopain_watch,physiopain_watch,64,22,skipped,,,,,,,,,,,,,,,,,,,,,classifier target has fewer than two classes in train or test
within_dataset_subject_holdout:physiopain_watch,apple_watch_like,regression_nrs,,6400,2200,87,physiopain_watch,physiopain_watch,64,22,ok,0.7564369770195638,1.0284090909090908,0.26445907206937436,1.104694671728726,0.23490990441841264,0.5439665511839983,0.7564369770195636,1.0284090909090908,0.2644590720693746,,,,,,,,,,,,
within_dataset_subject_holdout:physiopain_watch,apple_watch_like,classification_high_pain_4_plus,,6400,2200,87,physiopain_watch,physiopain_watch,64,22,ok,,,,,,,,,,0.18181818181818182,0.7486363636363637,0.5333333333333333,0.22002820874471085,0.23386733191129022,0.6308916666666666,0.7486363636363635,0.5333333333333322,0.22002820874470982,0.23386733191129122,0.63089166666666,
within_dataset_subject_holdout:physiopain_watch,apple_watch_like,classification_nonzero_pain,,6400,2200,87,physiopain_watch,physiopain_watch,64,22,skipped,,,,,,,,,,,,,,,,,,,,,classifier target has fewer than two classes in train or test
within_dataset_subject_holdout:physiopain_watch,autonomic_core,regression_nrs,,6400,2200,50,physiopain_watch,physiopain_watch,64,22,ok,0.6179982703823065,1.0284090909090908,0.39907350504261907,0.8939785674141226,0.49894860539641117,0.7097551375556576,0.6179982703823064,1.0284090909090908,0.3990735050426192,,,,,,,,,,,,
within_dataset_subject_holdout:physiopain_watch,autonomic_core,classification_high_pain_4_plus,,6400,2200,50,physiopain_watch,physiopain_watch,64,22,ok,,,,,,,,,,0.18181818181818182,0.7495454545454545,0.5348611111111111,0.22284908321579688,0.2759383237248868,0.6053958333333334,0.7495454545454544,0.53486111111111,0.22284908321579586,0.27593832372488747,0.6053958333333265,
within_dataset_subject_holdout:physiopain_watch,autonomic_core,classification_nonzero_pain,,6400,2200,50,physiopain_watch,physiopain_watch,64,22,skipped,,,,,,,,,,,,,,,,,,,,,classifier target has fewer than two classes in train or test
within_dataset_subject_holdout:physiopain_watch,motion_only,regression_nrs,,6400,2200,58,physiopain_watch,physiopain_watch,64,22,ok,0.7776437334135857,1.0284090909090908,0.24383813767518725,1.1243665741822886,0.2074185317629622,0.5506735774056556,0.7776437334135857,1.0284090909090908,0.24383813767518725,,,,,,,,,,,,
within_dataset_subject_holdout:physiopain_watch,motion_only,classification_high_pain_4_plus,,6400,2200,58,physiopain_watch,physiopain_watch,64,22,ok,,,,,,,,,,0.18181818181818182,0.7268181818181818,0.5511111111111111,0.2679658952496955,0.24343047779158378,0.6672402777777778,0.7268181818181817,0.5511111111111094,0.2679658952496932,0.24343047779158417,0.6672402777777706,
within_dataset_subject_holdout:physiopain_watch,motion_only,classification_nonzero_pain,,6400,2200,58,physiopain_watch,physiopain_watch,64,22,skipped,,,,,,,,,,,,,,,,,,,,,classifier target has fewer than two classes in train or test
within_dataset_subject_holdout:physiopain_watch,metadata_probe,regression_nrs,,6400,2200,16,physiopain_watch,physiopain_watch,64,22,ok,0.5957509860417061,1.0284090909090908,0.420706223517457,0.8311129659916524,0.5669398951763087,0.7533634061732822,0.5957509860417061,1.0284090909090908,0.420706223517457,,,,,,,,,,,,
within_dataset_subject_holdout:physiopain_watch,metadata_probe,classification_high_pain_4_plus,,6400,2200,16,physiopain_watch,physiopain_watch,64,22,ok,,,,,,,,,,0.18181818181818182,0.9063636363636364,0.7424999999999999,0.6531986531986532,0.7359821295996838,0.9044194444444444,0.9063636363636364,0.7425,0.653198653198649,0.7359821295996815,0.9044194444444412,
within_dataset_subject_holdout:physiopain_watch,metadata_probe,classification_nonzero_pain,,6400,2200,16,physiopain_watch,physiopain_watch,64,22,skipped,,,,,,,,,,,,,,,,,,,,,classifier target has fewer than two classes in train or test
within_dataset_subject_holdout:physiopain_watch,sensors_plus_metadata,regression_nrs,,6400,2200,159,physiopain_watch,physiopain_watch,64,22,ok,0.7129898439052054,1.0284090909090908,0.30670600813637483,0.977251290378412,0.40125683818601654,0.6539039332620167,0.7129898439052055,1.0284090909090908,0.3067060081363747,,,,,,,,,,,,
within_dataset_subject_holdout:physiopain_watch,sensors_plus_metadata,classification_high_pain_4_plus,,6400,2200,159,physiopain_watch,physiopain_watch,64,22,ok,,,,,,,,,,0.18181818181818182,0.7809090909090909,0.6405555555555555,0.41075794621026895,0.4016202343398698,0.7820305555555555,0.7809090909090909,0.6405555555555547,0.410757946210265,0.40162023433986893,0.7820305555555495,
within_dataset_subject_holdout:physiopain_watch,sensors_plus_metadata,classification_nonzero_pain,,6400,2200,159,physiopain_watch,physiopain_watch,64,22,skipped,,,,,,,,,,,,,,,,,,,,,classifier target has fewer than two classes in train or test
within_dataset_subject_holdout:rheumapain,sensors_only,regression_nrs,,17074,6690,122,rheumapain,rheumapain,31,11,ok,0.9656658599698281,1.1216231491802238,0.13904606848064993,1.231482230567141,-1.8537261464728525,-0.08214142630010945,0.9656658599698279,1.1216231491802235,0.13904606848064993,,,,,,,,,,,,
within_dataset_subject_holdout:rheumapain,sensors_only,classification_high_pain_4_plus,,17074,6690,122,rheumapain,rheumapain,31,11,skipped,,,,,,,,,,,,,,,,,,,,,classifier target has fewer than two classes in train or test
within_dataset_subject_holdout:rheumapain,sensors_only,classification_nonzero_pain,,17074,6690,122,rheumapain,rheumapain,31,11,ok,,,,,,,,,,0.4789237668161435,0.5240657698056801,0.5396425187104759,0.6466148723640399,0.6033707392161203,0.6689185849873545,0.5240657698056801,0.5396425187104741,0.6466148723640345,0.6033707392161246,0.6689185849873588,
within_dataset_subject_holdout:rheumapain,sensors_plus_state,regression_nrs,,17074,6690,130,rheumapain,rheumapain,31,11,ok,0.9652850208750883,1.1216231491802238,0.13938561130750604,1.2303934477188523,-1.8486822822911075,-0.07980761252095202,0.9652850208750882,1.1216231491802235,0.13938561130750593,,,,,,,,,,,,
within_dataset_subject_holdout:rheumapain,sensors_plus_state,classification_high_pain_4_plus,,17074,6690,130,rheumapain,rheumapain,31,11,skipped,,,,,,,,,,,,,,,,,,,,,classifier target has fewer than two classes in train or test
within_dataset_subject_holdout:rheumapain,sensors_plus_state,classification_nonzero_pain,,17074,6690,130,rheumapain,rheumapain,31,11,ok,,,,,,,,,,0.4789237668161435,0.40956651718983555,0.42759051186017477,0.5811240721102863,0.5995096302518256,0.6473477287068731,0.4095665171898356,0.4275905118601786,0.58112407211028,0.59950963025183,0.6473477287068765,
within_dataset_subject_holdout:rheumapain,e4_like,regression_nrs,,17074,6690,110,rheumapain,rheumapain,31,11,ok,0.9652850208750883,1.1216231491802238,0.13938561130750604,1.2303934477188523,-1.8486822822911075,-0.07980761252095202,0.9652850208750882,1.1216231491802235,0.13938561130750593,,,,,,,,,,,,
within_dataset_subject_holdout:rheumapain,e4_like,classification_high_pain_4_plus,,17074,6690,110,rheumapain,rheumapain,31,11,skipped,,,,,,,,,,,,,,,,,,,,,classifier target has fewer than two classes in train or test
within_dataset_subject_holdout:rheumapain,e4_like,classification_nonzero_pain,,17074,6690,110,rheumapain,rheumapain,31,11,ok,,,,,,,,,,0.4789237668161435,0.40956651718983555,0.42759051186017477,0.5811240721102863,0.5995096302518256,0.6473477287068731,0.4095665171898356,0.4275905118601786,0.58112407211028,0.59950963025183,0.6473477287068765,
within_dataset_subject_holdout:rheumapain,apple_watch_like,regression_nrs,,17074,6690,96,rheumapain,rheumapain,31,11,ok,1.0475096938669701,1.1216231491802238,0.06607696655282302,1.2779595441722678,-2.0731956273139907,-0.16016413311269798,1.04750969386697,1.1216231491802235,0.06607696655282302,,,,,,,,,,,,
within_dataset_subject_holdout:rheumapain,apple_watch_like,classification_high_pain_4_plus,,17074,6690,96,rheumapain,rheumapain,31,11,skipped,,,,,,,,,,,,,,,,,,,,,classifier target has fewer than two classes in train or test
within_dataset_subject_holdout:rheumapain,apple_watch_like,classification_nonzero_pain,,17074,6690,96,rheumapain,rheumapain,31,11,ok,,,,,,,,,,0.4789237668161435,0.5449925261584454,0.5614902090974921,0.6673224043715847,0.6093540203806576,0.6685533824257257,0.5449925261584454,0.561490209097489,0.6673224043715796,0.6093540203806626,0.66855338242573,
within_dataset_subject_holdout:rheumapain,autonomic_core,regression_nrs,,17074,6690,54,rheumapain,rheumapain,31,11,ok,0.9885498429168816,1.1216231491802238,0.11864350906149113,1.2906865287422957,-2.13471130046026,0.32624588097085994,0.9885498429168816,1.1216231491802235,0.11864350906149101,,,,,,,,,,,,
within_dataset_subject_holdout:rheumapain,autonomic_core,classification_high_pain_4_plus,,17074,6690,54,rheumapain,rheumapain,31,11,skipped,,,,,,,,,,,,,,,,,,,,,classifier target has fewer than two classes in train or test
within_dataset_subject_holdout:rheumapain,autonomic_core,classification_nonzero_pain,,17074,6690,54,rheumapain,rheumapain,31,11,ok,,,,,,,,,,0.4789237668161435,0.6684603886397609,0.6818703384968445,0.7428703918386274,0.8685380688648867,0.8734998850404292,0.6684603886397609,0.6818703384968418,0.7428703918386232,0.8685380688648879,0.8734998850404319,
within_dataset_subject_holdout:rheumapain,motion_only,regression_nrs,,17074,6690,68,rheumapain,rheumapain,31,11,ok,1.2837854128993624,1.1216231491802238,-0.14457820689387568,1.5635708072196322,-3.6003524055609777,-0.12652942764549124,1.2837854128993622,1.1216231491802235,-0.14457820689387568,,,,,,,,,,,,
within_dataset_subject_holdout:rheumapain,motion_only,classification_high_pain_4_plus,,17074,6690,68,rheumapain,rheumapain,31,11,skipped,,,,,,,,,,,,,,,,,,,,,classifier target has fewer than two classes in train or test
within_dataset_subject_holdout:rheumapain,motion_only,classification_nonzero_pain,,17074,6690,68,rheumapain,rheumapain,31,11,ok,,,,,,,,,,0.4789237668161435,0.5191330343796712,0.5327253368745178,0.6301023341382086,0.5848416960928766,0.628837715764073,0.5191330343796712,0.5327253368745165,0.6301023341382027,0.5848416960928802,0.6288377157640754,
within_dataset_subject_holdout:rheumapain,metadata_probe,regression_nrs,,17074,6690,16,rheumapain,rheumapain,31,11,ok,0.9801677928123874,1.1216231491802238,0.12611665198888222,1.1964672199388757,-1.6937519644849228,0.10143445200533772,0.9801677928123874,1.1216231491802235,0.126116651988882,,,,,,,,,,,,
within_dataset_subject_holdout:rheumapain,metadata_probe,classification_high_pain_4_plus,,17074,6690,16,rheumapain,rheumapain,31,11,skipped,,,,,,,,,,,,,,,,,,,,,classifier target has fewer than two classes in train or test
within_dataset_subject_holdout:rheumapain,metadata_probe,classification_nonzero_pain,,17074,6690,16,rheumapain,rheumapain,31,11,ok,,,,,,,,,,0.4789237668161435,0.6563527653213752,0.6625896308615952,0.6931803016148406,0.7582311425102755,0.7266057273502785,0.6563527653213751,0.6625896308616,0.6931803016148349,0.7582311425102725,0.726605727350279,
within_dataset_subject_holdout:rheumapain,sensors_plus_metadata,regression_nrs,,17074,6690,138,rheumapain,rheumapain,31,11,ok,1.0512805489596981,1.1216231491802238,0.06271500394043927,1.4426931685385953,-2.9165524388371358,0.10179721216820023,1.0512805489596984,1.1216231491802235,0.06271500394043883,,,,,,,,,,,,
within_dataset_subject_holdout:rheumapain,sensors_plus_metadata,classification_high_pain_4_plus,,17074,6690,138,rheumapain,rheumapain,31,11,skipped,,,,,,,,,,,,,,,,,,,,,classifier target has fewer than two classes in train or test
within_dataset_subject_holdout:rheumapain,sensors_plus_metadata,classification_nonzero_pain,,17074,6690,138,rheumapain,rheumapain,31,11,ok,,,,,,,,,,0.4789237668161435,0.40956651718983555,0.42759051186017477,0.5811240721102863,0.5933354209834256,0.6314539413226296,0.4095665171898356,0.4275905118601786,0.58112407211028,0.5933354209834296,0.6314539413226323,
